BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.63648336968996E-09	1E10	1E10	1E-30	1.47707975844966E-11	1E10	1E-30	1E10	4.26032784048737E-03	1E-30	1.44083093350573E-10	0.925142300223281	1E-30	6.5106110959698E-11	9.30852679836436E-03	3.81969036587961E-09	1.06820322633872E-10	1.72815725102499	2.65102162207136E-09	5.48812598590342E-11	1.26878358436857	7.86272130182155E-09	8.18814230621968E-12	0.297005500479356	3.88025443315659E-09	9.76822810542684E-12	0.294399043583336	2.14795118148929E-12	4.28222219339448E-10	351.99888378198	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	3.2148470533066E-09	1E10	1E10	1E-30	1.48040797449289E-11	1E10	1E-30	1E10	4.62224161945494E-03	1E-30	1.45633310784014E-10	0.764312514420042	1E-30	4.05380415023517E-11	9.86165524805891E-03	4.5282365754652E-09	1.25567031016301E-10	1.89443318265252	2.737509384438E-09	7.50286075594458E-11	1.45407382322735	6.76439707243762E-09	1.4273936537137E-11	0.388949730055318	2.96042508722742E-09	1.90378763409147E-11	0.391298832960323	2.12831246388292E-12	3.71332487984831E-10	162.462924004478	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	3.8271428728097E-09	1E10	1E10	1E-30	5.5055339090686E-11	1E10	1E-30	1E10	4.61352522729638E-03	1E-30	1.58571527834508E-10	0.537791962090311	1E-30	4.85691578059047E-11	5.56653514086026E-03	6.68162826145866E-09	1.14240170281202E-10	1.77555485239021	4.91901709157223E-09	5.8001820431151E-11	1.28627040009651	1.14239815060117E-08	1.15309245614899E-11	0.27882094779325	6.20842378156764E-09	1.25849941629736E-11	0.324561254024325	2.24843426835894E-12	4.81184338699277E-10	308.451452824719	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	4.56563695800146E-09	1E10	1E10	1E-30	5.32807546888743E-11	1E10	1E-30	1E10	3.77076614806632E-03	1E-30	1.85042896881735E-10	0.64218700784136	1E-30	4.26599569535224E-11	4.357574241972E-3	9.01856490041139E-09	1.14173079850665E-10	1.73411928574089	4.07752601168753E-09	9.43893979018165E-11	1.37858836329855	1.20318142785695E-08	1.51129937466069E-11	0.489389544845366	8.09524666034663E-09	1.3633403426745E-11	0.419826669092893	2.21893976520422E-12	3.61448283252954E-10	303.687332984598	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.19573701458447E-08	1E10	1E10	1E-30	1.55305213541277E-11	1E10	1E-30	1E10	5.26167847359734E-03	1E-30	7.18334199462183E-11	1.24812288793235	1E-30	1.27148712431058E-10	0.239292987933657	1E-30	2.68960784270869E-11	2.11095329800185E-03	1.89885679560546E-08	1.0031660850316E-10	0.695840069609649	1.50963552124145E-08	4.62382311887193E-11	0.544035665092583	4.86266132839499E-08	6.57091478952709E-12	0.105213188134233	1.8609356906407E-08	1.035887331963E-11	0.129888844792599	2.16080648956386E-12	3.81144800649017E-10	421.402223745178	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.2E-8	1E10	8333333333.33333	1E-30	1.55305213541277E-11	1E10	1E-30	1E10	5.26167847359734E-03	1E-30	7.18334199462183E-11	1.24812288793235	1E-30	1.27148712431058E-10	0.239292987933657	1E-30	2.68960784270869E-11	2.11095329800185E-03	1.89885679560546E-08	1.0031660850316E-10	0.695840069609649	1.50963552124145E-08	4.62382311887193E-11	0.544035665092583	4.86266132839499E-08	6.57091478952709E-12	0.105213188134233	1.8609356906407E-08	1.035887331963E-11	0.129888844792599	2.16080648956386E-12	3.81144800649017E-10	421.402223745178	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.44978604935641E-08	1E10	1E10	1E-30	6.47379304378299E-12	1E10	1E-30	1E10	5.02784896128005E-03	1E-30	1.37662504897958E-10	0.337614978689945	1E-30	2.5498280043708E-11	2.40766467176348E-03	2.54954021768868E-08	1.11397793054515E-10	0.634232337978574	1.40647063774932E-08	7.28193728374754E-11	0.528280567303331	4.3288259735829E-08	1.11703249930982E-11	0.12352810199839	1.7451665800705E-08	1.61156526850731E-11	0.131584876081642	2.03303535932931E-12	6.00980149505434E-10	360.924255573053	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1.44978604935641E-08	1E10	1E10	1E-30	6.47379304378299E-12	1E10	1E-30	1E10	5.02784896128005E-03	1E-30	1.37662504897958E-10	0.337614978689945	1E-30	2.5498280043708E-11	2.40766467176348E-03	2.54954021768868E-08	1.11397793054515E-10	0.634232337978574	1.40647063774932E-08	7.28193728374754E-11	0.528280567303331	4.3288259735829E-08	1.11703249930982E-11	0.12352810199839	1.7451665800705E-08	1.61156526850731E-11	0.131584876081642	2.03303535932931E-12	6.00980149505434E-10	360.924255573053	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	1.76817314746861E-08	1E10	1E10	1E-30	1.05278935099977E-11	1E10	1E-30	1E10	4.45454801918729E-03	1E-30	1.65811858134193E-10	0.346115959222427	1E-30	3.29607921207254E-11	1.96373442667818E-03	2.73232203331592E-08	1.43485022382497E-10	0.766562147452032	1.97721244645218E-08	7.31685196730647E-11	0.6297930304033	4.59111419864892E-08	1.45384410587876E-11	0.147478034622973	2.40388025462138E-08	1.65261601334573E-11	0.157469386025992	1.86434830018521E-12	4.74764249464272E-10	204.335040500687	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
