BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.73016044583375E-10	1E10	1E10	1E-30	4.60326002100351E-10	1E10	1E-30	1E10	0.292522579391838	8.62837427653161E-09	1E10	92.4466453237782	6.25070460290552E-08	1E10	2.54619204078073	2.72853152182474E-08	1E10	1.64395965906446	1.49943959685164E-08	1E10	0.531974917921453	1.9017700343003E-09	1E10	0.487039395339846	4.2275173002333E-12	6.73187346235864E-10	30.2708959479977	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	6.91467354381918E-10	1E10	1E10	1E-30	4.12372884300625E-10	1E10	1E-30	1E10	0.261600105979205	2.4683750725468E-08	1E10	23.410407837748	5.65472060859577E-08	1E10	2.23567659207875	7.45437354693516E-07	1E10	1.07006209367021	2.30362165243439E-08	1E10	0.690890116107851	4.28954424673613E-09	1E10	0.330680800057499	3.01014364763842E-12	6.54084889714442E-10	26.8239942698509	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.02236628032376E-09	1E10	1E10	1E-30	3.00869398886588E-10	1E10	1E-30	1E10	0.249377788727033	1.22949047866127E-08	1E10	205.16107300606	2.08797440114865E-07	1E10	1.91467453739031	7.93825727105492E-08	1E10	1.26501292192075	3.30921641441357E-08	1E10	0.448843522250971	6.60275480375584E-09	1E10	0.235556428962094	1E-30	1.31800987878601E-10	1.68856374165479	5.85644815597046E-10	6.70790702616927E-11	0.536384680629036	3.44853233956214E-12	3.60235936014832E-10	22.881071895528	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.05793201117142E-09	1E10	1E10	1E-30	3.8040686546276E-10	1E10	1E-30	1E10	0.290357970436366	1.35339743985488E-08	1E10	182.13557494924	1.05057086034E-07	1E10	1.62328502041039	7.78798937982359E-08	1E10	0.513327795612975	3.90324085279236E-08	1E10	0.257273337827253	8.94180821062372E-09	1E10	0.173938123727276	4.17298095101747E-10	7.14126148187504E-11	0.520791954712003	2.63297297942041E-12	4.50583138084256E-10	26.1014279077449	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.53412564942524E-09	1E10	1E10	1E-30	4.56076231637222E-10	1E10	1E-30	1E10	0.245186323294765	3.23119480611267E-08	1E10	69.5756046971564	2.08623459140146E-07	1E10	6.05978184404004	2.23544063994115E-07	1E10	0.71196228720296	2.39531780140966E-07	1E10	0.419234475671917	6.30032774346504E-08	1E10	0.325429552931667	8.49890827409676E-09	1E10	0.166900250908226	1E-30	2.56821120884431E-10	3.44531972988658	1.01422439741753E-11	2.55910016120892E-10	15.8846121550192	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.54820554006099E-09	1E10	1E10	1E-30	4.6774951906607E-10	1E10	1E-30	1E10	0.222180184310506	2.66281393055601E-08	1E10	96.9347091019332	4.84552479575139E-07	1E10	1.64618754435584	1.01237362077207E-07	1E10	1.13888352712636	5.69299523492717E-08	1E10	0.279562754796389	2.16441642162279E-08	1E10	0.106286794979752	1E-30	1.75810448244405E-10	2.35854124446885	1.95217322430486E-09	1.92177697522995E-11	0.227296274260251	7.59483515103634E-12	2.71458212990385E-10	21.7066256748834	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.15054946229345E-09	1E10	1E10	1E-30	4.76600992658689E-10	1E10	1E-30	1E10	0.169389096681759	5.36222044862596E-08	1E10	40.9708965124914	4.67029877207118E-07	1E10	0.6799476343811	1.47687814732325E-07	1E10	0.6799476343811	9.75763715442068E-08	1E10	0.163108076856281	3.08563579894535E-08	1E10	0.100571624952821	1E-30	8.09646066203687E-11	1.39924577489072	1.17122136867274E-08	1.53314189054569E-11	0.080997512471691	1.77271527696348E-09	3.35414899220533E-11	0.218007623849061	6.89666271959833E-12	2.98938843594336E-10	20.8195664472003	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	2.11973691876484E-09	1E10	1E10	1E-30	4.66627609060949E-10	1E10	1E-30	1E10	0.21155969233988	4.34051848049666E-08	1E10	58.1136993164047	1.19547805863537E-07	1E10	1.03342394935555	9.7172104746344E-08	1E10	0.16378665822599	3.44779638240103E-08	1E10	0.103342394935555	9.15118355124779E-10	5.65905703753972E-11	0.248675730521418	5.51413337273033E-12	3.73890190660377E-10	20.6839463400206	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	3.29136787590638E-09	1E10	1E10	1E-30	4.37272519730637E-10	1E10	1E-30	1E10	0.111761496762589	1.01998810413278E-07	1E10	18.3326406197838	2.62177312133729E-07	1E10	0.607050784816631	1.69275890336081E-07	1E10	0.215389746397691	3.0101983040066E-08	1E10	0.08574820250462	1E-30	1.51643148025262E-10	0.828746267844407	1.93913724734933E-09	4.85973725097949E-11	0.262725435330292	5.59253291024167E-12	3.36211674075606E-10	24.5189642450757	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
